,DATEPRD,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_WAT_VOL,Total Injection
0,2008-02-12,11.5,201.25,14.48443,106.806,92.475,285.0,385.0,166.0
1,2008-02-13,24.0,182.145,22.83299,120.889,89.62,1870.0,7.0,166.0
2,2008-02-14,22.5,181.868,31.24997,113.718,80.12,3124.0,1.0,166.0
3,2008-02-15,23.15,180.832,28.51893,116.831,84.251,2608.0,1.0,166.0
4,2008-02-16,24.0,180.501,30.2279,115.434,82.359,3052.0,5.0,166.0
5,2008-02-17,24.0,180.346,29.97405,115.206,82.169,2983.0,2.0,166.0
6,2008-02-18,23.0,180.929,30.3084,113.282,80.263,2981.0,6.0,166.0
7,2008-02-19,24.0,180.06,30.48698,113.769,81.275,3046.0,1.0,166.0
8,2008-02-20,24.0,179.662,29.90702,113.4,80.774,3057.0,0.0,166.0
9,2008-02-21,24.0,179.434,30.49301,113.106,79.975,3030.0,0.0,166.0
10,2008-02-22,23.67,179.282,29.63448,113.079,79.948,2908.0,0.0,166.0
11,2008-02-23,15.14,179.486,28.95718,112.603,79.162,1852.0,0.0,166.0
12,2008-02-24,24.0,179.355,30.79962,111.187,77.932,3127.0,0.0,166.0
13,2008-02-25,24.0,178.758,30.68344,111.45,78.257,3046.0,0.0,166.0
14,2008-02-26,24.0,178.603,30.92304,110.934,77.723,3047.0,0.0,166.0
15,2008-02-27,24.0,178.608,30.84932,110.326,77.128,3036.0,0.0,166.0
16,2008-02-28,23.67,178.22,29.90044,110.629,77.465,2972.0,0.0,166.0
17,2008-02-29,24.0,178.067,31.02388,109.447,76.212,3071.0,0.0,166.0
18,2008-03-01,24.0,178.065,31.06188,108.827,75.573,3068.0,0.0,166.0
19,2008-03-02,24.0,177.944,31.08744,108.321,74.762,3067.0,0.0,166.0
20,2008-03-03,24.0,177.669,30.96447,108.059,74.361,3044.0,0.0,166.0
21,2008-03-04,24.0,177.307,30.60221,108.075,74.441,2983.0,0.0,166.0
22,2008-03-05,24.0,176.96,30.57649,107.869,74.262,2967.0,0.0,166.0
23,2008-03-06,24.0,176.984,30.58881,107.31,73.375,2951.0,2.0,166.0
24,2008-03-07,22.83,176.67,28.82496,107.754,73.568,2657.0,2.0,166.0
25,2008-03-08,23.0,176.382,27.94825,108.031,73.795,2578.0,2.0,166.0
26,2008-03-09,24.0,176.457,31.15911,105.93,71.562,2997.0,2.0,166.0
27,2008-03-10,24.0,176.233,31.30501,105.29,71.062,3021.0,1.0,166.0
28,2008-03-11,24.0,176.084,31.37003,104.811,71.283,3010.0,1.0,166.0
29,2008-03-12,23.78,176.032,29.85867,105.053,71.868,2794.0,1.0,166.0
30,2008-03-13,24.0,176.047,31.64254,103.441,70.451,3059.0,1.0,166.0
31,2008-03-14,23.83,175.892,30.92678,103.219,70.393,2965.0,1.0,166.0
32,2008-03-15,24.0,175.811,32.07412,102.14,69.867,3131.0,1.0,166.0
33,2008-03-16,24.0,175.553,32.05167,101.739,69.813,3135.0,1.0,166.0
34,2008-03-17,24.0,175.265,32.07362,101.299,69.322,3143.0,1.0,166.0
35,2008-03-18,24.0,175.072,32.04644,100.911,69.074,3132.0,1.0,166.0
36,2008-03-19,24.0,174.903,32.04522,100.46,69.105,3140.0,1.0,166.0
37,2008-03-20,24.0,174.668,32.01249,100.124,68.918,3157.0,1.0,166.0
38,2008-03-21,24.0,174.498,32.08725,99.574,68.253,3192.0,1.0,166.0
39,2008-03-22,24.0,174.284,32.07839,99.172,67.795,3172.0,1.0,166.0
40,2008-03-23,24.0,174.088,32.0607,98.793,67.405,3160.0,1.0,166.0
41,2008-03-24,24.0,173.835,32.12839,98.402,67.011,3153.0,1.0,166.0
42,2008-03-25,24.0,173.644,32.0421,98.039,66.661,3131.0,1.0,166.0
43,2008-03-26,7.48,173.522,30.92542,97.897,66.578,960.0,2.0,166.0
44,2008-03-27,0.0,282.532,26.129375,1.178,1.164,0.0,0.0,166.0
45,2008-03-28,1.19,187.175,21.33333,92.241,68.207,73.0,0.0,166.0
46,2008-03-29,24.0,174.191,32.0,97.277,65.742,3137.0,3.0,166.0
47,2008-03-30,10.98,173.373,30.68261,97.369,66.019,1431.0,2.0,166.0
48,2008-03-31,14.03,173.435,31.0,98.122,67.129,1951.0,2.0,174.72483221476512
49,2008-04-01,24.0,172.928,29.81203,97.431,66.386,3061.0,3.0,183.4496644295302
50,2008-04-02,24.0,172.986,31.81838,96.658,65.595,3054.0,3.0,192.1744966442953
51,2008-04-03,24.0,172.745,32.00095,96.117,65.052,3103.0,3.0,200.8993288590604
52,2008-04-04,24.0,172.49,32.0812,95.691,64.619,3111.0,3.0,209.62416107382552
53,2008-04-05,24.0,172.316,32.20087,95.14,63.919,3303.0,3.0,218.3489932885906
54,2008-04-06,24.0,172.067,32.2108,94.788,63.121,3028.0,153.0,227.0738255033557
55,2008-04-07,24.0,171.737,32.03321,94.74,63.17,2999.0,152.0,235.7986577181208
56,2008-04-08,24.0,171.356,32.04783,94.544,62.825,3054.0,4.0,244.52348993288592
57,2008-04-09,24.0,171.178,32.00003,94.217,62.791,3026.0,5.0,253.248322147651
58,2008-04-10,24.0,171.109,31.25186,93.812,62.247,3003.0,4.0,261.9731543624161
59,2008-04-11,24.0,170.712,31.94415,93.622,62.07,3016.0,10.0,270.6979865771812
60,2008-04-12,12.98,170.859,30.88504,93.149,61.656,1615.0,3.0,279.4228187919463
61,2008-04-13,4.0,174.478,25.82296,93.618,63.311,430.0,2.0,288.1476510067114
62,2008-04-14,21.26,181.727,28.7635,83.884,56.138,2579.0,4.0,296.8724832214765
63,2008-04-15,20.55,170.639,32.0605,93.037,61.284,2494.0,4.0,305.5973154362416
64,2008-04-16,24.0,170.01,31.90408,93.0,61.322,2848.0,4.0,314.32214765100673
65,2008-04-17,9.38,170.166,31.65348,92.812,61.079,1121.0,1.0,323.04697986577185
66,2008-04-18,21.57,170.289,31.71874,92.884,61.137,2448.0,2.0,331.7718120805369
67,2008-04-19,22.71,170.12,30.03349,93.021,61.733,2514.0,2.0,340.496644295302
68,2008-04-20,24.0,169.532,31.48322,92.639,61.001,2753.0,3.0,349.22147651006713
69,2008-04-21,24.0,169.285,31.51978,92.326,60.689,2752.0,3.0,357.9463087248322
70,2008-04-22,24.0,168.946,31.48301,92.169,60.547,2737.0,2.0,366.6711409395973
71,2008-04-23,24.0,168.698,31.48727,91.86,60.253,2736.0,-14.0,375.3959731543624
72,2008-04-24,24.0,168.549,30.81425,91.578,59.938,2730.0,94.0,3783.1208053691275
73,2008-04-25,24.0,168.745,31.49891,91.778,60.089,2728.0,4.0,7143.845637583892
74,2008-04-26,24.0,168.901,31.41246,92.24,60.553,2747.0,4.0,6853.5704697986575
75,2008-04-27,15.96,169.706,31.48973,90.712,58.911,1986.0,3.0,4751.295302013423
76,2008-04-29,5.25,174.685,25.8431,89.005,60.106,547.0,5.0,1711.744966442953
77,2008-04-30,24.0,170.419,32.54397,90.862,58.917,3012.0,14.0,6800.4697986577185
78,2008-05-01,24.0,170.119,33.43435,90.67,58.502,3168.0,3.0,7278.194630872484
79,2008-05-02,24.0,170.408,33.39043,90.772,58.589,3164.0,4.0,7048.919463087248
80,2008-05-03,24.0,170.549,33.37373,91.06,58.884,3173.0,4.0,7685.644295302013
