DATEPRD,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_GAS_VOL,BORE_WAT_VOL,Injection Hours F-4,Water Injection F-4,Injection Hours F-5,Water Injection F-5,Total Water Injection,BORE_OIL_VOL
01-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Sep-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Oct-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Nov-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Dec-07,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-08,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Jan-08,5599,15/9-F-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
